Номер;Наименование и техническая характеристика;Тип, марка, обозначение документа, опросного листа;Код продукции;Поставщик;Ед. измере-ния;Кол.;Масса 1 ед., кг;Примечание
6.1.1;"Вызывная панель IP-домофона
(1,3 МП, 1/3’’ SONY Exmor, 0.01 лк (день) / 0.003 лк (ночь), SIP-протокол, распознавание лиц, ИК-подсветка (до 10 м), DWDR, 2D/3DNR, установленная microSDHC (от 4 ГБ), дуплекс аудио, эхоподавление, контроллер вызывной панели (до 3-х исполнительных устройств), антивандальное исполнение, PoE, 12 В (DC), -40...+50 °С)";DS06AP-3L;;«Beward»;компл.;2;0,57;
6.1.2;"Считыватель
(Cotag Mifare Ultralight и DesFire (чтение UID), Mifare ID\Classic\Plus Sl1 и Sl3 (чтение UID и защищенной области памяти), 3 режима работы: Считыватель ID, Считыватель защищенный, Считыватель NFC. Wiegand, Touch Memory, Rbus, RS-485, USB. Дальность до 4 см, 8...15 В, 80 мА, IP65, -40...+55 °C, 120х58х20 мм. Антивандальный влагозащищённый корпус)";RDR-204-MF;;«RusGuard»;шт.;2;0,5;
6.1.3;"Замок электромагнитный
(Удержание 500 кг, датчик Холла, 12 В, 0,65 A, IP67, -40…+50 °С, 270x75x45 мм, 5600 г., Уголок в комплекте)";ML-194K-2;AT-04387;«AccordTec»;компл.;2;5,6;
6.1.4;"Кнопка выхода
(металлическая накладная; 82х32х25 мм; НР)";AT-H805A;AT-02410;«AccordTec»;шт.;2;0,128;
6.1.5;"Устройство разблокировки двери с восстанавливаемой вставкой
(2 группы контактов НР/НЗ, 12 В, 3 А, -30...+60 °С, IP24, 88х88х55 мм, с монтажной коробкой)";ST-ER115SL-GN;;«Smartec»;шт.;2;0,16;
6.1.6;Защитный кожух для устройства разблокировки дверей IP54;ST-ER100SМ;;«Smartec»;шт.;2;0,2;
6.1.7;Кабель ОПС и СОУЭ огнестойкий, с низким дымо и газовыделением 2х2х0,75;КПКЭВнг(А)-FRLS;;;м;324;;либо аналог
6.1.8;Кабель витая пара UFTP4 кат.6 уличный (для групповой прокладки);UFTP4-C6-SOLID-OUTDOOR;;;м;170;;либо аналог
6.1.9;Патч-корд U/UTP. Cat.6a. LSZH. 1м;PC-LPM-UTP-RJ45-RJ45-C6a-1M-LSZH;;«Hyperline»;шт.;2;0,05;либо аналог
