Наименование и техническая характеристика;Тип, марка, обозначение документа, опросного листа;Код продукции;Поставщик;Ед. измере-ния;Кол.;Масса 1 ед., кг;Примечание
;4.1.1;"Сетевая камера (Разрешение HDTV 1080p при частоте до 25/30 кадр/с) Температура эксплуатации: от -40°C до 60°C
ИК-подсветка с дальностью действия до 150 м
Электронная стабилизация изображений)";GSP 2Sx12 IR150;;"ООО ""ГЛОСАВ""";шт.;18
;4.1.2;Коробка монтажная;;;"ООО ""ГЛОСАВ""";шт.;18
;4.1.3;Грозозащита для IP видеокамер;SG-Cam Грозозащита Tfortis;SG-Cam;Tfortis;шт.;18
;4.1.4;Кабельный ввод для труб, IP55, диам. 25 мм;54525;;«ДКС»;шт.;18
;4.1.6;Провод электрический ПуГВВ 1х4,0мм желто-зеленый;;;;шт.;90
;4.1.7;Хомут P6.6 устойчивый к УФ, черный, 4,8x300;25317SRUV;;«ДКС»;шт.;90
;4.1.8;Вертикальный подвес двойной 41х41, L800;;BSD4108HDZ;«ДКС»;шт.;18
;4.1.9;Анкер Hilti HIT-RE500 V3 500 мл;;HIT-RE500 V3;«Хилти»;шт.;18
;4.1.10;Шпилька М10х60;;CM201006;«ДКС»;шт.;72
;4.1.11;Шайба М10;DIN9021;CM241000;«ДКС»;шт.;72
;4.1.12;Гайка шестигранная М10;DIN110600;CM111000;«ДКС»;шт.;72
;4.1.13;Болт с шестигранной головкой М10х60;;CM081060;«ДКС»;шт.;36
;4.1.14;Гайка с насечкой, препятствующей откручиванию М10;DIN 6923;CM101000;«ДКС»;шт.;36
;4.1.15;Винт полусфера М5х50 DIN 7985, оцинкованная сталь;DIN 7985;;«ЭТМ»;шт.;36
;4.1.16;Гайка с насечкой, препятствующей откручиванию М5;DIN 6923;CM100500;«ДКС»;шт.;36
